Brand,Alcohol Content,Bitterness,Maltiness,Mouthfeel
BrandJ,8,3,5,6
BrandD,5,4,4,6
BrandH,8,5,7,4
BrandJ,6,7,4,5
BrandB,7,4,4,1
BrandJ,5,8,4,3
BrandH,9,7,4,1
BrandH,6,7,5,5
BrandC,8,3,4,1
BrandJ,8,7,3,1
BrandG,7,7,7,2
BrandF,4,8,7,3
BrandE,6,3,2,3
BrandJ,5,6,7,3
BrandI,8,2,6,2
BrandB,6,2,3,1
BrandD,8,9,4,3
BrandD,9,3,3,3
BrandE,5,5,4,1
BrandA,6,6,6,3
BrandE,7,9,6,5
BrandD,5,9,6,6
BrandD,6,8,2,3
BrandI,7,8,7,2
BrandI,8,8,4,2
BrandG,4,8,5,1
BrandE,4,8,4,5
BrandI,8,6,5,2
BrandB,7,2,2,6
BrandA,6,2,5,5
BrandA,4,1,4,6
BrandB,6,6,4,2
BrandA,7,5,2,1
BrandJ,4,3,4,1
BrandC,4,4,4,4
BrandH,8,7,7,3
BrandG,7,7,6,5
BrandD,9,7,3,2
BrandD,7,7,5,2
BrandJ,7,7,4,1
BrandI,7,5,5,3
BrandG,6,4,4,1
BrandA,8,1,7,1
BrandG,8,3,5,4
BrandG,4,8,7,2
BrandJ,7,1,4,2
BrandD,4,4,7,2
BrandJ,8,7,7,2
BrandE,5,2,6,5
BrandG,9,9,6,1
